operation,datetime,price
"913 596-69-53, Сбербанк",25.09.2024 09:31,-800.0
OBEDOV,24.09.2024 12:57,-100.0
клиента,26.09.2024 20:01,17000.0
Галерея),26.09.2024 20:01,-16125.0
Оплата СБП QR (М.Видео302),26.09.2024 20:21,-794.0
клиента,26.09.2024 20:31,1000.0
Оплата товаров и услуг DELIVERY,26.09.2024 21:45,-614.82
Сбербанк,27.09.2024 08:06,3851.0
Сбербанк,27.09.2024 12:42,13000.0
клиента,27.09.2024 12:43,-16000.0
клиента,27.09.2024 14:18,1000.0
клиента,27.09.2024 14:20,1000.0
YANDEX.SPLIT,27.09.2024 14:21,-1060.0
"913 596-69-53, Сбербанк",27.09.2024 21:52,-700.0
APPLE SPB Gal,26.09.2024 20:32,-556.76
OBEDOV,26.09.2024 12:28,-120.0
KUZNETSOV I.V.,25.09.2024 14:27,-75.0
Оплата товаров и услуг SPLIT,27.09.2024 14:20,-1060.0
KHLEB,26.09.2024 17:18,-60.0
Сбербанк,29.09.2024 11:29,13671.29
клиента,29.09.2024 11:30,-11000.0
"913 596-69-53, Сбербанк",29.09.2024 11:42,-1000.0
Оплата СБП QR (Wildberries),29.09.2024 11:44,-502.0
клиента,29.09.2024 17:43,1000.0
Оплата товаров и услуг DELIVERY,29.09.2024 17:41,-9.0
Оплата товаров и услуг DELIVERY,29.09.2024 17:41,-801.0
Оплата товаров и услуг DELIVERY,29.09.2024 17:44,-327.0
Оплата товаров и услуг DELIVERY,29.09.2024 17:44,-3.0
клиента,30.09.2024 11:38,1000.0
"913 596-69-53, Сбербанк",30.09.2024 11:39,-1000.0
Оплата товаров и услуг OBEDOV,27.09.2024 12:38,-120.0
клиента,30.09.2024 18:49,1000.0
TOTEM,30.09.2024 01:07,-599.0
SEMISHAGOFF,29.09.2024 14:33,-169.98
клиента,01.10.2024 21:18,1000.0
клиента,02.10.2024 13:15,2500.0
"913 596-69-53, Сбербанк",02.10.2024 13:16,-2500.0
OBEDOV,01.10.2024 12:37,-147.0
PYATEROCHKA 11,30.09.2024 19:06,-378.66
Оплата СБП QR (Сервисы Яндекса),02.10.2024 15:33,-54.0
Оплата СБП QR (Сервисы Яндекса),02.10.2024 15:33,-6.0
ERMOLINO,30.09.2024 18:49,-413.64
клиента,03.10.2024 12:38,500.0
2078,01.10.2024 22:24,-269.98
IZDANIYA,01.10.2024 21:19,-927.0
клиента,03.10.2024 20:10,1000.0
клиента,03.10.2024 20:15,365.0
OBEDOV,03.10.2024 12:38,-117.0
"913 596-69-53, Сбербанк",04.10.2024 23:59,-200.0
клиента,05.10.2024 09:56,490.0
"913 596-69-53, Сбербанк",05.10.2024 09:57,-490.0
OBEDOV,04.10.2024 12:51,-147.0
Оплата товаров и услуг KHLEBNIK,03.10.2024 20:15,-325.0
PYATEROCHKA 11,03.10.2024 20:10,-956.9
клиента,05.10.2024 20:28,500.0
клиента,06.10.2024 10:19,700.0
Оплата товаров и услуг DELIVERY,06.10.2024 10:20,-773.0
Оплата товаров и услуг DELIVERY,06.10.2024 10:20,-7.0
Оплата товаров и услуг DELIVERY,06.10.2024 10:40,-64.87
клиента,06.10.2024 17:15,391.0
Сбербанк,07.10.2024 13:52,500.0
CEKH85,05.10.2024 20:28,-318.0
MM LIMONNAYA,05.10.2024 20:55,-119.98
клиента,08.10.2024 14:16,500.0
MM  ALIBASHAY,06.10.2024 17:15,-119.99
PYATEROCHKA 11,06.10.2024 20:41,-139.97
Сбербанк,08.10.2024 17:06,2053.5
клиента,08.10.2024 17:07,-2000.0
YANDEX*7832*AFISHA,08.10.2024 13:59,-700.0
OBEDOV,08.10.2024 14:16,-230.0
Сбербанк,09.10.2024 16:01,2000.0
Оплата товаров и услуг DELIVERY,09.10.2024 16:02,-976.0
Оплата товаров и услуг DELIVERY,09.10.2024 16:02,-4.0
Оплата СБП QR (Wildberries),09.10.2024 19:28,-306.0
клиента,10.10.2024 21:04,5000.0
клиента,10.10.2024 22:03,300.0
клиента,11.10.2024 08:59,331.39
клиента,11.10.2024 12:48,100.0
"53, Сбербанк",11.10.2024 13:21,2000.0
OBEDOV,10.10.2024 12:40,-147.0
Оплата товаров и услуг BULKI,10.10.2024 16:19,-250.0
Y.M*FIRSTBYTE.PRO,11.10.2024 09:00,-292.54
OBEDOV,11.10.2024 12:48,-147.0
LYUBYAT,10.10.2024 19:27,-235.0
ANASTA,10.10.2024 21:04,-4540.0
PYATEROCHKA 11,10.10.2024 22:09,-1147.72
Оплата товаров и услуг KHLEBNIK,13.10.2024 11:41,-175.0
PYATEROCHKA 15609,13.10.2024 14:35,-69.99
Сбербанк,14.10.2024 18:14,31800.1
клиента,14.10.2024 18:15,-30000.0
Альфа Банк,14.10.2024 18:19,-500.0
"913 596-69-53, Сбербанк",14.10.2024 18:43,-350.0
PYATEROCHKA 11,13.10.2024 11:39,-1211.29
клиента,16.10.2024 12:45,15000.0
"913 596-69-53, Сбербанк",16.10.2024 12:46,-15000.0
G.M.,15.10.2024 08:05,-121.0
"53, Сбербанк",16.10.2024 13:47,15000.0
OBEDOV,15.10.2024 12:30,-117.0
клиента,17.10.2024 07:29,-13000.0
PIROGOVYY DVORIK,16.10.2024 13:29,-399.0
клиента,17.10.2024 19:32,4000.0
клиента,17.10.2024 20:07,2000.0
"53, Сбербанк",17.10.2024 21:48,4000.0
OBEDOV,17.10.2024 12:45,-175.0
PYATEROCHKA 11,16.10.2024 22:44,-1713.92
OBEDOV,18.10.2024 13:00,-147.0
PEREKRESTOK,17.10.2024 20:09,-1524.23
Оплата товаров и услуг DNS 2615,17.10.2024 19:32,-4857.0
"913 596-69-53, Сбербанк",19.10.2024 18:50,-800.0
Банк,19.10.2024 18:57,-416.0
A A IP,19.10.2024 19:25,-1000.0
LAVKA,21.10.2024 11:09,-1.0
LAVKA,21.10.2024 11:09,-969.0
PYATEROCHKA 11,19.10.2024 21:31,-693.94
клиента,21.10.2024 20:29,1000.0
клиента,22.10.2024 07:38,1000.0
клиента,22.10.2024 17:10,2000.0
"913 596-69-53, Сбербанк",22.10.2024 17:12,-2000.0
AO TRETI,22.10.2024 07:30,-44.0
OBEDOV,22.10.2024 12:59,-117.0
LANDAREV A V,21.10.2024 20:29,-748.0
клиента,23.10.2024 14:11,300.0
KING 0735,21.10.2024 20:34,-359.96
Оплата СБП QR (oplata_beeline),23.10.2024 19:43,-150.0
клиента,23.10.2024 21:52,4200.0
Т-Банк,23.10.2024 21:58,-4200.0
клиента,23.10.2024 22:16,200.0
Politekhnichesk N 1193,22.10.2024 07:41,-1305.0
BAGIROV BAGIR ORUDZ,23.10.2024 14:12,-90.0
клиента,24.10.2024 17:42,630.0
"913 596-69-53, Сбербанк",24.10.2024 17:43,-500.0
клиента,24.10.2024 21:58,1000.0
"913 596-69-53, Сбербанк",24.10.2024 21:59,-1000.0
клиента,24.10.2024 22:15,500.0
клиента,25.10.2024 12:36,200.0
OBEDOV,24.10.2024 12:45,-117.0
SEMISHAGOFF,23.10.2024 22:16,-169.99
Сбербанк,25.10.2024 19:18,8000.0
клиента,25.10.2024 19:19,-8000.0
Оплата товаров и услуг DELIVERY,25.10.2024 20:27,-3.0
Оплата товаров и услуг DELIVERY,25.10.2024 20:27,-3.0
клиента,26.10.2024 07:56,365.0
YANDEX.TAXI,26.10.2024 08:03,-244.0
G.M.,25.10.2024 08:12,-91.0
OBEDOV,25.10.2024 12:37,-147.0
PYATEROCHKA 11,24.10.2024 22:15,-543.43
клиента,26.10.2024 18:13,1000.0
Банк,26.10.2024 18:51,-590.0
клиента,26.10.2024 20:12,500.0
клиента,26.10.2024 20:13,500.0
клиента,26.10.2024 20:19,500.0
Оплата товаров и услуг KHLEBNIK,26.10.2024 20:20,-329.0
клиента,27.10.2024 19:15,2000.0
клиента,27.10.2024 19:32,3200.0
клиента,27.10.2024 19:46,500.0
клиента,27.10.2024 20:14,600.0
клиента,28.10.2024 11:22,200.0
APPLE SPB Gal,27.10.2024 19:46,-475.8
IBY0,27.10.2024 19:33,-3799.0
YM*YACHARITY,26.10.2024 08:34,-6.0
"53, Сбербанк",28.10.2024 14:31,5400.0
PYATEROCHKA 11,26.10.2024 20:13,-1274.75
Альфа Банк,28.10.2024 17:14,-179.0
"913 596-69-53, Сбербанк",28.10.2024 19:28,-900.0
клиента,28.10.2024 19:28,-4000.0
клиента,28.10.2024 22:06,700.0
"913 596-69-53, Сбербанк",28.10.2024 22:07,-1000.0
YORKER LIGOVSKIY,27.10.2024 19:16,-1699.0
KRASNOE&BELOE,27.10.2024 15:07,-91.29
PEREKRESTOK VOSSTANIYA,27.10.2024 20:15,-637.34
"53, Сбербанк",29.10.2024 14:36,700.0
Сбербанк,30.10.2024 09:45,12481.83
OBEDOV,29.10.2024 12:49,-117.0
клиента,30.10.2024 13:50,-12000.0
PYATEROCHKA 11,28.10.2024 11:22,-86.98
"913 596-69-53, Сбербанк",30.10.2024 15:57,-1000.0
клиента,30.10.2024 16:08,400.0
"913 596-69-53, Сбербанк",30.10.2024 16:09,-500.0
Сбербанк,31.10.2024 07:18,10000.0
Т-Банк,31.10.2024 07:23,-1073.18
клиента,31.10.2024 07:28,-8500.0
клиента,31.10.2024 21:35,500.0
"913 596-69-53, Сбербанк",31.10.2024 21:36,-500.0
PYATEROCHKA 11,30.10.2024 13:56,-158.98
Оплата СБП QR (Wildberries),01.11.2024 18:16,-402.0
клиента,02.11.2024 14:01,2000.0
"913 596-69-53, Сбербанк",02.11.2024 14:02,-1000.0
клиента,03.11.2024 19:48,1200.0
Т-Банк,03.11.2024 19:48,-2039.34
клиента,03.11.2024 22:12,500.0
Т-Банк,03.11.2024 22:13,-200.0
Т-Банк,03.11.2024 22:13,-490.0
Т-Банк,03.11.2024 22:21,30.0
клиента,05.11.2024 21:49,2000.0
Т-Банк,05.11.2024 21:49,-2000.0
клиента,05.11.2024 21:50,200.0
Т-Банк,05.11.2024 21:50,-200.0
клиента,06.11.2024 16:28,1000.0
Т-Банк,06.11.2024 16:30,-1000.0
клиента,06.11.2024 18:39,408.0
Т-Банк,06.11.2024 18:40,-408.0
клиента,07.11.2024 10:02,1000.0
"913 596-69-53, Сбербанк",07.11.2024 10:03,-1000.0
клиента,07.11.2024 10:07,1000.0
клиента,07.11.2024 10:26,1000.0
Сбербанк,07.11.2024 10:27,-1000.0
клиента,07.11.2024 10:33,1000.0
Т-Банк,07.11.2024 10:36,-1000.0
"53, Сбербанк",07.11.2024 14:59,1000.0
Т-Банк,07.11.2024 18:46,-1000.0
Сбербанк,07.11.2024 23:23,370.0
Y.M*BOOKING,07.11.2024 10:08,-990.0
"53, Сбербанк",08.11.2024 15:08,5000.0
клиента,08.11.2024 16:19,-5000.0
клиента,09.11.2024 14:15,400.0
"913 596-69-53, Сбербанк",09.11.2024 14:15,-800.0
"53, Сбербанк",10.11.2024 00:07,1000.0
Т-Банк,10.11.2024 00:56,-1000.0
Сбербанк,10.11.2024 12:18,8000.0
Оплата СБП QR (Wildberries),10.11.2024 12:58,-1202.0
Оплата СБП QR (Wildberries),10.11.2024 12:58,-1275.0
Т-Банк,10.11.2024 13:59,-1500.0
клиента,10.11.2024 18:01,1000.0
Т-Банк,10.11.2024 18:02,-3000.0
Т-Банк,10.11.2024 18:03,-700.0
Т-Банк,11.11.2024 20:20,1500.0
Оплата СБП QR (Сервисы Яндекса),11.11.2024 20:21,-1479.0
